Region_GISAID,Country,Continent,Color
Algeria,Algeria,Africa,#FFCC99
DRC,DRC,Africa,#FFCC99
Egypt,Egypt,Africa,#FFCC99
Gambia,Gambia,Africa,#FFCC99
Ghana,Ghana,Africa,#FFCC99
Senegal,Senegal,Africa,#FFCC99
South_Africa,South_Africa,Africa,#FFCC99
Uganda,Uganda,Africa,#FFCC99
Beijing,China,Asia,#FF9999
China,China,Asia,#FF9999
Chongqing,China,Asia,#FF9999
Foshan,China,Asia,#FF9999
Fujian,China,Asia,#FF9999
Fuyang,China,Asia,#FF9999
Ganzhou,China,Asia,#FF9999
Guangdong,China,Asia,#FF9999
Guangxi,China,Asia,#FF9999
Guangzhou,China,Asia,#FF9999
Hangzhou,China,Asia,#FF9999
Henan,China,Asia,#FF9999
Hefei,China,Asia,#FF9999
Jian,China,Asia,#FF9999
Jiangsu,China,Asia,#FF9999
Jiangxi,China,Asia,#FF9999
Jingzhou,China,Asia,#FF9999
Jiujiang,China,Asia,#FF9999
Lishui,China,Asia,#FF9999
Nanchang,China,Asia,#FF9999
NanChang,China,Asia,#FF9999
Pingxiang,China,Asia,#FF9999
Shandong,China,Asia,#FF9999
Shanghai,China,Asia,#FF9999
Shangrao,China,Asia,#FF9999
Shenzhen,China,Asia,#FF9999
Sichuan,China,Asia,#FF9999
Tianmen,China,Asia,#FF9999
Wuhan,China,Asia,#FF9999
Xinyu,China,Asia,#FF9999
Yunnan,China,Asia,#FF9999
Zhejiang,China,Asia,#FF9999
Japan,Japan,Asia,#FF9999
Korea,Korea,Asia,#FF9999
Taiwan,Taiwan,Asia,#FF9999
Russia,Russia,Asia,#FF9999
Israel,Israel,Asia,#FF9999
Jordan,Jordan,Asia,#FF9999
JOR,Jordan,Asia,#FF9999
Kuwait,Kuwait,Asia,#FF9999
Qatar,Qatar,Asia,#FF9999
Kazakhstan,Kazakhstan,Asia,#FF9999
Lebanon,Lebanon,Asia,#FF9999
Turkey,Turkey,Asia,#FF9999
Iran,Iran,Asia,#FF9999
Saudi_Arabia,Saudi_Arabia,Asia,#FF9999
United_Arab_Emirates,United_Arab_Emirates,Asia,#FF9999
Cambodia,Cambodia,Asia,#FF9999
Malaysia,Malaysia,Asia,#FF9999
Philippines,Philippines,Asia,#FF9999
Singapore,Singapore,Asia,#FF9999
Hong_Kong,HongKong,Asia,#FF9999
Nonthaburi,Thailand,Asia,#FF9999
Thailand,Thailand,Asia,#FF9999
Vietnam,Vietnam,Asia,#FF9999
Brunei,Brunei,Asia,#FF9999
Guam,Guam,Asia,#FF9999
Indonesia,Indonesia,Asia,#FF9999
Myanmar,Myanmar,Asia,#FF9999
India,India,Asia,#FF9999
Nepal,Nepal,Asia,#FF9999
Pakistan,Pakistan,Asia,#FF9999
Bangladesh,Bangladesh,Asia,#FF9999
Sri_Lanka,Sri_Lanka,Asia,#FF9999
Belarus,Belarus,Europe,#CCFF99
Georgia,Georgia,Europe,#CCFF99
Hungary,Hungary,Europe,#CCFF99
Poland,Poland,Europe,#CCFF99
Slovakia,Slovakia,Europe,#CCFF99
Slovenia,Slovenia,Europe,#CCFF99
Czech_Republic,Czech_Republic,Europe,#CCFF99
Romania,Romania,Europe,#CCFF99
Serbia,Serbia,Europe,#CCFF99
Greece,Greece,Europe,#CCFF99
Italy,Italy,Europe,#CCFF99
Portugal,Portugal,Europe,#CCFF99
Spain,Spain,Europe,#CCFF99
Austria,Austria,Europe,#CCFF99
Belgium,Belgium,Europe,#CCFF99
England,England,Europe,#CCFF99
France,France,Europe,#CCFF99
Wales,Gales,Europe,#CCFF99
Germany,Germany,Europe,#CCFF99
Ireland,Ireland,Europe,#CCFF99
Luxembourg,Luxembourg,Europe,#CCFF99
Netherlands,Netherlands,Europe,#CCFF99
Scotland,Scotland,Europe,#CCFF99
Switzerland,Switzerland,Europe,#CCFF99
Denmark,Denmark,Europe,#CCFF99
Estonia,Estonia,Europe,#CCFF99
Finland,Finland,Europe,#CCFF99
Iceland,Iceland,Europe,#CCFF99
Latvia,Latvia,Europe,#CCFF99
Lithuania,Lithuania,Europe,#CCFF99
Norway,Norway,Europe,#CCFF99
Sweden,Sweden,Europe,#CCFF99
Canada,Canada,North_America,#99FFCC
Mexico,Mexico,North_America,#99FFCC
Panama,Panama,North_America,#99FFCC
USA,USA,North_America,#99FFCC
Puerto_Rico,Puerto_Rico,North_America,#99FFCC
Australia,Australia,Australia,#FFFF99
New_Zealand,NewZealand,Zealandia,#FFFF99
NewZealand,NewZealand,Zealandia,#FFFF99
Argentina,Argentina,South_America,#9999FF
Brazil,Brazil,South_America,#9999FF
Chile,Chile,South_America,#9999FF
Colombia,Colombia,South_America,#9999FF
Peru,Peru,South_America,#9999FF
Uruguay,Uruguay,South_America,#9999FF
Costa_Rica,Costa_Rica,Central_America,#99CCFF
