A,#FF99A1
A.1,#FF9F95
A.1.1,#FF9F95
A.1.3,#FF9F95
A.2,#FFB3A5
A.3,#FFC6A5
A.4,#FFD1A5
A.5,#FFD1C0
A.6,#FFC0A1
A.7,#FFCCAC
A.9,#FFDBBE
B,#C08BF8
B.1,#CFA9FB
B.1.1,#CFA9FB
B.1.1.1,#CFA9FB
B.1.1.10,#CFA9FB
B.1.1.14,#CFA9FB
B.1.1.15,#CFA9FB
B.1.1.16,#CFA9FB
B.1.1.17,#CFA9FB
B.1.1.18,#CFA9FB
B.1.1.19,#CFA9FB
B.1.1.2,#CFA9FB
B.1.1.20,#CFA9FB
B.1.1.21,#CFA9FB
B.1.1.23,#CFA9FB
B.1.1.24,#CFA9FB
B.1.1.25,#CFA9FB
B.1.1.26,#CFA9FB
B.1.1.27,#CFA9FB
B.1.1.28,#C02AFF
B.1.1.29,#CFA9FB
B.1.1.3,#CFA9FB
B.1.1.30,#CFA9FB
B.1.1.32,#CFA9FB
B.1.1.33,#DA00FF
B.1.1.5,#CFA9FB
B.1.1.6,#CFA9FB
B.1.1.7,#CFA9FB
B.1.1.8,#CFA9FB
B.1.101,#CFA9FB
B.1.102,#CFA9FB
B.1.103,#CFA9FB
B.1.104,#CFA9FB
B.1.106,#CFA9FB
B.1.107,#CFA9FB
B.1.108,#CFA9FB
B.1.109,#CFA9FB
B.1.11,#CFA9FB
B.1.110,#CFA9FB
B.1.111,#CFA9FB
B.1.113,#CFA9FB
B.1.114,#CFA9FB
B.1.115,#CFA9FB
B.1.12,#CFA9FB
B.1.120,#CFA9FB
B.1.121,#CFA9FB
B.1.122,#CFA9FB
B.1.123,#CFA9FB
B.1.13,#CFA9FB
B.1.2,#CFA9FB
B.1.21,#CFA9FB
B.1.22,#CFA9FB
B.1.23,#CFA9FB
B.1.25,#CFA9FB
B.1.26,#CFA9FB
B.1.29,#CFA9FB
B.1.3,#CFA9FB
B.1.30,#CFA9FB
B.1.31,#CFA9FB
B.1.32,#CFA9FB
B.1.35,#CFA9FB
B.1.36,#CFA9FB
B.1.39,#CFA9FB
B.1.42,#CFA9FB
B.1.43,#CFA9FB
B.1.44,#CFA9FB
B.1.5,#CFA9FB
B.1.5.3,#CFA9FB
B.1.5.5,#CFA9FB
B.1.5.9,#CFA9FB
B.1.6,#CFA9FB
B.1.67,#CFA9FB
B.1.68,#CFA9FB
B.1.69,#CFA9FB
B.1.70,#CFA9FB
B.1.71,#CFA9FB
B.1.74,#CFA9FB
B.1.75,#CFA9FB
B.1.76,#CFA9FB
B.1.77,#CFA9FB
B.1.78,#CFA9FB
B.1.79,#CFA9FB
B.1.8,#CFA9FB
B.1.80,#CFA9FB
B.1.84,#CFA9FB
B.1.88,#CFA9FB
B.1.9,#CFA9FB
B.1.91,#CFA9FB
B.1.93,#CFA9FB
B.1.94,#CFA9FB
B.1.96,#CFA9FB
B.14,#9AFFF1
B.18,#66FFF1
B.19,#29F1F1
B.2,#D2D5D5
B.2.1,#D2D5D5
B.2.10,#D2D5D5
B.2.2,#D2D5D5
B.2.4,#D2D5D5
B.2.6,#D2D5D5
B.2.7,#D2D5D5
B.2.8,#D2D5D5
B.2.9,#D2D5D5
B.20,#29D6F1
B.3,#D2E5EF
B.4,#C5D6D5
B.5,#DAFFFF
B.6,#D3FFFF
B.9,#BAFFFF
